Assembly	shiver_genome	smaltalign_genome	viralngs_genome	vpipe_genome
# contigs (>= 0 bp)	1	1	1	1
# contigs (>= 1000 bp)	1	1	1	1
# contigs (>= 5000 bp)	1	1	1	1
# contigs (>= 10000 bp)	0	0	0	0
# contigs (>= 25000 bp)	0	0	0	0
# contigs (>= 50000 bp)	0	0	0	0
Total length (>= 0 bp)	8720	8720	8728	8721
Total length (>= 1000 bp)	8720	8720	8728	8721
Total length (>= 5000 bp)	8720	8720	8728	8721
Total length (>= 10000 bp)	0	0	0	0
Total length (>= 25000 bp)	0	0	0	0
Total length (>= 50000 bp)	0	0	0	0
# contigs	1	1	1	1
Largest contig	8720	8720	8728	8721
Total length	8720	8720	8728	8721
Reference length	8741	8741	8741	8741
GC (%)	40.76	40.77	40.66	40.75
Reference GC (%)	40.77	40.77	40.77	40.77
N50	8720	8720	8728	8721
NG50	8720	8720	8728	8721
N90	8720	8720	8728	8721
NG90	8720	8720	8728	8721
auN	8720.0	8720.0	8728.0	8721.0
auNG	8699.1	8699.1	8715.0	8701.0
L50	1	1	1	1
LG50	1	1	1	1
L90	1	1	1	1
LG90	1	1	1	1
# total reads	16765	16765	16764	16769
# left	9500	9500	9500	9500
# right	9500	9500	9500	9500
Mapped (%)	107.02	107.02	107.04	106.95
Reference mapped (%)	107.02	107.02	107.02	107.02
Properly paired (%)	102.61	102.61	102.7	102.63
Reference properly paired (%)	102.61	102.61	102.61	102.61
Avg. coverage depth	513	513	512	512
Reference avg. coverage depth	512	512	512	512
Coverage >= 1x (%)	100.0	100.0	100.0	100.0
Reference coverage >= 1x (%)	100.0	100.0	100.0	100.0
# misassemblies	0	0	0	0
# misassembled contigs	0	0	0	0
Misassembled contigs length	0	0	0	0
# local misassemblies	0	0	0	0
# scaffold gap ext. mis.	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0
# structural variations	0	0	0	0
# unaligned mis. contigs	0	0	0	0
# unaligned contigs	0 + 0 part	0 + 0 part	0 + 0 part	0 + 0 part
Unaligned length	0	0	0	0
Genome fraction (%)	99.989	100.000	100.000	100.000
Duplication ratio	1.000	1.000	1.000	1.000
# N's per 100 kbp	0.00	0.00	22.91	0.00
# mismatches per 100 kbp	0.00	0.00	286.70	45.89
# indels per 100 kbp	91.74	80.28	80.28	91.77
Largest alignment	8720	8720	8720	8717
Total aligned length	8720	8720	8720	8717
NA50	8720	8720	8720	8717
NGA50	8720	8720	8720	8717
NA90	8720	8720	8720	8717
NGA90	8720	8720	8720	8717
auNA	8720.0	8720.0	8712.0	8713.0
auNGA	8699.1	8699.1	8699.1	8693.1
LA50	1	1	1	1
LGA50	1	1	1	1
LA90	1	1	1	1
LGA90	1	1	1	1
