Assembly	shiver_genome	smaltalign_genome	viralngs_genome	vpipe_genome
# contigs (>= 0 bp)	1	1	1	1
# contigs (>= 1000 bp)	1	1	1	1
# contigs (>= 5000 bp)	1	1	1	1
# contigs (>= 10000 bp)	0	0	0	0
# contigs (>= 25000 bp)	0	0	0	0
# contigs (>= 50000 bp)	0	0	0	0
Total length (>= 0 bp)	8624	8624	8616	8638
Total length (>= 1000 bp)	8624	8624	8616	8638
Total length (>= 5000 bp)	8624	8624	8616	8638
Total length (>= 10000 bp)	0	0	0	0
Total length (>= 25000 bp)	0	0	0	0
Total length (>= 50000 bp)	0	0	0	0
# contigs	1	1	1	1
Largest contig	8624	8624	8616	8638
Total length	8624	8624	8616	8638
Reference length	8648	8648	8648	8648
GC (%)	40.79	40.83	40.82	41.05
Reference GC (%)	40.79	40.79	40.79	40.79
N50	8624	8624	8616	8638
NG50	8624	8624	8616	8638
N90	8624	8624	8616	8638
NG90	8624	8624	8616	8638
auN	8624.0	8624.0	8616.0	8638.0
auNG	8600.1	8600.1	8584.1	8628.0
L50	1	1	1	1
LG50	1	1	1	1
L90	1	1	1	1
LG90	1	1	1	1
# total reads	15365	15363	15365	15299
# left	8800	8800	8800	8800
# right	8800	8800	8800	8800
Mapped (%)	113.99	113.86	113.99	109.73
Reference mapped (%)	113.98	113.98	113.98	113.98
Properly paired (%)	113.44	113.17	113.44	105.03
Reference properly paired (%)	113.42	113.42	113.42	113.42
Avg. coverage depth	507	506	507	480
Reference avg. coverage depth	506	506	506	506
Coverage >= 1x (%)	100.0	99.93	100.0	99.19
Reference coverage >= 1x (%)	100.0	100.0	100.0	100.0
# misassemblies	0	0	0	0
# misassembled contigs	0	0	0	0
Misassembled contigs length	0	0	0	0
# local misassemblies	0	0	0	0
# scaffold gap ext. mis.	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0
# structural variations	0	0	0	0
# unaligned mis. contigs	0	0	0	0
# unaligned contigs	0 + 0 part	0 + 0 part	0 + 0 part	0 + 0 part
Unaligned length	0	0	0	0
Genome fraction (%)	100.000	99.849	99.977	99.849
Duplication ratio	1.000	1.000	0.999	1.002
# N's per 100 kbp	0.00	0.00	23.21	0.00
# mismatches per 100 kbp	0.00	162.58	0.00	1321.74
# indels per 100 kbp	69.57	69.68	81.24	544.93
Largest alignment	8624	8611	8616	8625
Total aligned length	8624	8611	8616	8625
NA50	8624	8611	8616	8625
NGA50	8624	8611	8616	8625
NA90	8624	8611	8616	8625
NGA90	8624	8611	8616	8625
auNA	8624.0	8598.0	8616.0	8612.0
auNGA	8600.1	8574.2	8584.1	8602.1
LA50	1	1	1	1
LGA50	1	1	1	1
LA90	1	1	1	1
LGA90	1	1	1	1
