Assembly	shiver_genome	smaltalign_genome	viralngs_genome	vpipe_genome
# contigs (>= 0 bp)	1	1	1	1
# contigs (>= 1000 bp)	1	1	1	1
# contigs (>= 5000 bp)	1	1	1	1
# contigs (>= 10000 bp)	0	0	0	0
# contigs (>= 25000 bp)	0	0	0	0
# contigs (>= 50000 bp)	0	0	0	0
Total length (>= 0 bp)	8612	8595	8589	8604
Total length (>= 1000 bp)	8612	8595	8589	8604
Total length (>= 5000 bp)	8612	8595	8589	8604
Total length (>= 10000 bp)	0	0	0	0
Total length (>= 25000 bp)	0	0	0	0
Total length (>= 50000 bp)	0	0	0	0
# contigs	1	1	1	1
Largest contig	8612	8595	8589	8604
Total length	8612	8595	8589	8604
Reference length	8619	8619	8619	8619
GC (%)	40.44	40.40	40.39	40.86
Reference GC (%)	40.36	40.36	40.36	40.36
N50	8612	8595	8589	8604
NG50	8612	8595	8589	8604
N90	8612	8595	8589	8604
NG90	8612	8595	8589	8604
auN	8612.0	8595.0	8589.0	8604.0
auNG	8605.0	8571.1	8559.1	8589.0
L50	1	1	1	1
LG50	1	1	1	1
L90	1	1	1	1
LG90	1	1	1	1
# total reads	15575	15574	15575	15376
# left	8800	8800	8800	8800
# right	8800	8800	8800	8800
Mapped (%)	111.65	111.51	111.65	102.15
Reference mapped (%)	111.61	111.61	111.61	111.61
Properly paired (%)	110.3	110.02	110.3	91.68
Reference properly paired (%)	110.26	110.26	110.26	110.26
Avg. coverage depth	504	504	504	449
Reference avg. coverage depth	504	504	504	504
Coverage >= 1x (%)	100.0	100.0	100.0	99.35
Reference coverage >= 1x (%)	100.0	100.0	100.0	100.0
# misassemblies	0	0	0	0
# misassembled contigs	0	0	0	0
Misassembled contigs length	0	0	0	0
# local misassemblies	0	0	0	0
# scaffold gap ext. mis.	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0
# structural variations	0	0	0	0
# unaligned mis. contigs	0	0	0	0
# unaligned contigs	0 + 0 part	0 + 0 part	0 + 0 part	0 + 0 part
Unaligned length	0	0	0	0
Genome fraction (%)	100.000	98.883	100.000	98.010
Duplication ratio	1.002	1.000	0.999	1.001
# N's per 100 kbp	0.00	0.00	186.28	0.00
# mismatches per 100 kbp	69.67	70.60	69.86	2181.90
# indels per 100 kbp	139.34	82.36	93.14	545.48
Largest alignment	8612	8499	8589	8433
Total aligned length	8612	8499	8589	8433
NA50	8612	8499	8589	8433
NGA50	8612	8499	8589	8433
NA90	8612	8499	8589	8433
NGA90	8612	8499	8589	8433
auNA	8612.0	8404.1	8589.0	8265.4
auNGA	8605.0	8380.7	8559.1	8251.0
LA50	1	1	1	1
LGA50	1	1	1	1
LA90	1	1	1	1
LGA90	1	1	1	1
